survey,country,edyears,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5
BU6,Burundi,3,0.54539931,0.63309693,0.47118434,0.83881932,0.50047457,0.34290698,0.42067739,0.49025738,0.65419149,0.78774667
BU6,Burundi,4,0.47426882,0.55620068,0.40493324,0.80078763,0.42427647,0.26143977,0.34185264,0.40903255,0.56936842,0.74960303
BU6,Burundi,5,0.38963109,0.4704468,0.32124004,0.73824441,0.33625588,0.17892025,0.25324807,0.31754482,0.46740028,0.68436694
BU6,Burundi,6,0.22830439,0.2879658,0.17781536,0.57299113,0.17553036,0.062908053,0.094385989,0.14777385,0.28975067,0.50045693
BU6,Burundi,7,0.19605899,0.24946186,0.1508663,0.54206222,0.14308338,0.052947983,0.069013886,0.1232753,0.23173653,0.45641866
BU6,Burundi,8,0.16960894,0.217944,0.12870494,0.5018782,0.1187361,0.043264322,0.057033546,0.096291371,0.18990859,0.41469035
BU6,Burundi,9,0.14359751,0.18573186,0.10794095,0.46420786,0.094509758,0.033795718,0.040667925,0.071499117,0.14147131,0.38169253
BU6,Burundi,10,0.11105502,0.14406203,0.083122566,0.39146751,0.068121843,0.015673753,0.029901491,0.04883175,0.095591635,0.32033628
BU6,Burundi,11,0.09426225,0.12103155,0.071608506,0.35033613,0.055055488,0.014265903,0.01948094,0.033707928,0.078451693,0.28389293
BU6,Burundi,12,0.078693636,0.09816274,0.062217757,0.31682631,0.04223381,0.002675851,0.015516574,0.024108898,0.060911991,0.25184155
CD6,Congo DR,0,1,1,1,1,1,1,1,1,1,1
CD6,Congo DR,1,0.89513534,0.94879836,0.85255933,0.97350365,0.84570003,0.79625601,0.85191929,0.88951969,0.92730439,0.98575419
CD6,Congo DR,2,0.8802458,0.93964463,0.83311898,0.96783781,0.82499212,0.76780385,0.82951242,0.87634909,0.91985267,0.98030472
CD6,Congo DR,3,0.84957045,0.92455733,0.7900762,0.95676732,0.78195,0.72094262,0.77859235,0.83847123,0.89935458,0.97590762
CD6,Congo DR,4,0.80193818,0.89952081,0.72451651,0.93984365,0.71494645,0.63323921,0.71975797,0.78627628,0.86230218,0.96365327
CD6,Congo DR,5,0.75378841,0.86655927,0.66431653,0.91620982,0.6513319,0.55957603,0.6500349,0.73066032,0.82121658,0.95270765
CD6,Congo DR,6,0.68036741,0.82175958,0.56818748,0.87683541,0.55643398,0.46227038,0.56060231,0.63589942,0.74798119,0.92676979
CD6,Congo DR,7,0.59673762,0.75019813,0.4749828,0.81328768,0.46013638,0.36261809,0.4506689,0.54357576,0.66458929,0.88292509
CD6,Congo DR,8,0.53023887,0.68344796,0.40868345,0.76299977,0.38341165,0.29209211,0.37308511,0.4567973,0.59556872,0.84583014
CD6,Congo DR,9,0.4559826,0.60353166,0.33891788,0.68900925,0.3089878,0.23351532,0.29456708,0.36714742,0.50806278,0.7847901
CD6,Congo DR,10,0.38467243,0.52065313,0.27678591,0.61323208,0.24049538,0.16798438,0.23654112,0.29504505,0.40709326,0.72202033
