survey,country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_urban,pct30_39_rural,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_urban,pct40_49_rural,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
CO7,Colombia,11,.34383142,.29248255,.39563873,.3929525,.18453836,.15156111,.26202437,.36420104,.43309316,.52605206,.73199826,.69357139,.76684618,.80838442,.41531178,.34765771,.62336266,.76434439,.89710283,.95520973,.63611579,.60222775,.66485059,.73394817,.2774398,.21463385,.50278437,.66363066,.82037979,.90625364,.46919888,.45722452,.47979343,.56281096,.15504369,.10683256,.29396108,.46525785,.60646892,.78402627
CO7,Colombia,12,.14561869,.10835594,.18326268,.17384738,.054076839,.032120399,.08720535,.13841501,.18927678,.29298165,.43557224,.37927899,.48646718,.50508344,.14738853,.1050903,.26218757,.3911584,.60695553,.76260954,.35585108,.31041571,.39446831,.42623281,.097815506,.063063629,.18558839,.31188148,.47332692,.68577725,.23850651,.22622024,.24937248,.29168835,.060032081,.033319172,.1102705,.16746135,.30091298,.51218545
CO7,Colombia,13,.049621765,.031036571,.068362355,.058508422,.020803379,.011237461,.025028264,.045967035,.058578789,.11174008,.32344106,.27680221,.36569482,.37911311,.092632473,.0630555,.16951057,.27367589,.45204291,.62261623,.28943083,.25337639,.3200863,.34858152,.072570689,.048555132,.13350114,.24510272,.38531926,.58396739,.20207749,.19378497,.20941268,.24726078,.050445601,.028490553,.088078059,.13590659,.24742636,.44996452
CO7,Colombia,14,.007936948,.0058207815,.010074117,.010014796,.0011985954,.00025966534,.0013499324,.0067702918,.011228115,.021097122,.18660152,.16408741,.20708883,.22177035,.040796392,.020351615,.071095534,.11801336,.26526964,.44040811,.17940889,.1629643,.19338901,.21844859,.036280319,.025888314,.061921138,.13109471,.22845814,.41499272,.13038844,.13226573,.12873344,.16126408,.026771905,.013275598,.051733896,.077663064,.15279968,.31330359
CO7,Colombia,15,.002069742,.00093992031,.0032074382,.0026227308,,,.00017457032,.00098103052,.0025077153,.0069964314,.11838569,.10451074,.13101476,.14207366,.020178644,.0097655114,.04092665,.064245567,.16362183,.30305097,.12615183,.11116622,.13886951,.15423188,.023203939,.01424572,.03596624,.088215195,.15375455,.31272182,.085569426,.081039876,.089575142,.10620386,.016321592,.0075884461,.031688374,.04782816,.099023819,.21214229
CO7,Colombia,16,.00035154753,.00033551469,.00036802495,.00037469732,.00027629221,,,.00032627283,.00086650095,.00061299483,.079226278,.069695994,.087898858,.095627539,.011228945,.0048393402,.024763973,.039119523,.11091942,.20982812,.11079873,.094294369,.12479633,.13576867,.019253202,.011384902,.029570179,.071934618,.13512346,.28273967,.074949309,.071914367,.077633791,.092886657,.014752692,.0068617691,.025056401,.038970765,.084646322,.19218557
CO7,Colombia,17,,,,,,,,,,,.0033739184,.0017872509,.0048086182,.0040753949,.00046569237,.00024145721,.00031676778,.0011600163,.0053522289,.0096064471,.0037142141,.0026933679,.0045814146,.0044812243,.00090219948,.00074012077,.00082005351,.0020932604,.0038752055,.010286289,.0018130016,.0011512003,.002397744,.002248321,.00035184284,.000028220955,.00042457337,.00068713463,.0032089395,.0040648798
DR6,Dominican Republic,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DR6,Dominican Republic,1,.9879356,.98495001,.99085754,.98967916,.98320007,.96734434,.98989314,.98733896,.99621558,.99807346,.96834874,.95837313,.9782095,.97696084,.94381458,.90554577,.96965706,.98058879,.99542546,.99600607,.95693785,.9400562,.97343236,.96667594,.92684788,.86512661,.9557572,.97783422,.9842518,.99823183,.93475866,.93164295,.93776411,.95277661,.88477904,.82708526,.9187389,.93254197,.97978288,.98063308
DR6,Dominican Republic,2,.97854054,.97403532,.9829495,.98011351,.97426802,.95787358,.98148853,.9685064,.99092674,,.95612264,.94663352,.9655025,.96570361,.92882824,.87032479,.95933509,.97250342,.99072278,,.93274653,.91072327,.9542647,.94778502,.88627863,.80115569,.92302841,.95800871,.97818893,.99790472,.90693206,.89649433,.91700065,.93262345,.83566707,.75800461,.87981015,.8999756,.96634537,.97957027
DR6,Dominican Republic,3,.96683908,.95800316,.97548634,.97126132,.95482808,.92672074,.96809912,.95819592,.98622423,.99329245,.94194663,.9248476,.9588486,.95368212,.90851432,.83205128,.93766713,.9691422,.98604882,.99509829,.90158683,.87615824,.92643231,.920443,.84332258,.7287944,.86872208,.93617129,.96952313,.99680126,.86942118,.86441195,.87425327,.90144187,.78059995,.67658842,.82963687,.84807992,.95522588,.96924555
