survey,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_30,pct20_30_male,pct20_30_female,pct20_30_urban,pct20_30_rural,pct20_30_q1,pct20_30_q2,pct20_30_q3,pct20_30_q4,pct20_30_q5,pct40_50,pct40_50_male,pct40_50_female,pct40_50_urban,pct40_50_rural,pct40_50_q1,pct40_50_q2,pct40_50_q3,pct40_50_q4,pct40_50_q5
AO7,4,.81649935,.84304589,.79187369,.92117071,.55099005,.46091869,.66320741,.86975384,.93703812,.9799583,.75747848,.85644746,.68116426,.87497777,.46598783,.3945128,.51742947,.78913492,.90461648,.97422087,.60131824,.7807169,.45028377,.74522281,.34252605,.27262989,.38790083,.66125792,.74995989,.91169667
AO7,5,.74298537,.7770977,.71134126,.87093312,.41843325,.32023871,.51136929,.78754765,.90277487,.96431732,.69601047,.80357742,.61306649,.8303166,.36282575,.28598455,.41004094,.71292245,.8647691,.96425319,.49534211,.69782931,.32486948,.64641052,.2236667,.15726507,.25548789,.52492154,.63698804,.86559379
AO7,6,.64786798,.69215691,.60678369,.78450871,.30126527,.21458891,.35126951,.66882932,.81749994,.92066675,.6342687,.74836802,.54628766,.77949911,.27398321,.20931862,.30986571,.62939888,.81602997,.94388962,.42849952,.6220386,.26556027,.57120585,.1718622,.11028133,.1908225,.43640709,.54706174,.814592
AO7,7,.50978041,.5481739,.47416499,.64423543,.16872191,.10650729,.20764017,.46239942,.66368347,.82784206,.56276715,.67484492,.47634494,.71016568,.19710311,.13366762,.21944524,.52593666,.73924768,.918845,.36237577,.53315926,.21859428,.49729198,.11974785,.073005348,.12399229,.33434314,.44821891,.7774784
AO7,8,.37091902,.40118074,.34284687,.47778153,.099851534,.056307983,.10498517,.28844303,.45970225,.69467509,.48971924,.59959227,.40499702,.62885779,.14454634,.089388721,.15551381,.40294516,.6356566,.89136338,.31472301,.46921292,.18465896,.44180879,.086177006,.053641878,.080443285,.26519808,.39353234,.72283739
AO7,9,.23980644,.25699461,.22386186,.31608626,.046314996,.022800189,.046713695,.12856345,.28374842,.52078849,.41398865,.51080519,.33933419,.53883815,.10426383,.057975732,.098947905,.29438096,.53030336,.83046252,.24819821,.36789876,.14742307,.35168749,.062087182,.034888551,.049624104,.20420325,.2749567,.62200683
AO7,10,.1365498,.1512343,.12292771,.18381299,.016661901,.0083670346,.014704864,.053064704,.1557554,.32499975,.32954216,.40648288,.27021384,.43531999,.067130201,.0388809,.050400425,.2008463,.39653671,.73559821,.20145027,.30173585,.1170205,.29019639,.041852761,.015647382,.03626956,.13116941,.21602207,.55158234
AO7,11,.069024637,.078324288,.060397755,.093028583,.0081360899,.0024076563,.0044073118,.021847688,.068120524,.1797327,.26358622,.32290715,.21784438,.35265937,.042614963,.020327887,.028648648,.12672785,.28894925,.65599263,.17435145,.25739381,.1044386,.25404745,.031029293,.010502101,.024932601,.087078601,.17722723,.51365846
AO7,12,.034333132,.041484918,.02769869,.047086123,.0019837362,.00090376812,,.011614807,.03324873,.090882927,.21544227,.26580867,.17660514,.29087412,.028312074,.011945548,.017639529,.086156122,.21647651,.57498544,.15847616,.23465285,.094343491,.2316559,.026872573,.0096119968,.019778639,.071722709,.15727766,.47807631
AO7,13,.0055881203,.0075508775,.0037672322,.0074897003,.00076439849,,,.0018060276,.0030866051,.016954498,.08692693,.10255753,.074874312,.11975759,.0054812366,,.0023805825,.019714158,.055856742,.27893409,.07169205,.1069111,.042041317,.10675811,.0086305104,,.0053912979,.021640807,.042330805,.25549933
